ITEM  Number      BIN         HEX     
1     7116776     1111101000      6C97E8
2     1666340     100100100       196D24
3     8886983     1011000111      879AC7
4     839365      1011000101       CCEC5
5     924280      1001111000       E1A78
6     1026310     100000110        FA906
7     1615293     110111101       18A5BD
8     1063875     1111000011      103BC3
9     679035      1111011          A5C7B
10    5201970     110010          4F6032
11    593979      111011           9103B
12    801371      1001011011       C3A5B
13    3796878     1110001110      39EF8E
14    7489201     1010110001      7246B1
15    9740020     1011110100      949EF4
16    9128737     1100100001      8B4B21
17    5473463     10110111        5384B7
18    8701957     101             84C805
19    8238050     1111100010      7DB3E2
20    8679038     1001111110      846E7E
21    385912      1101111000       5E378
22    5867340     1101001100      59874C
23    4894542     1101001110      4AAF4E
24    8999451     1000011011      89521B
25    4392535     1001010111      430657
26    2078131     110110011       1FB5B3
27    3070124     10101100        2ED8AC
28    7451998     101011110       71B55E
29    5635510     110110110       55FDB6
30    1233932     1100            12D40C
31    6089867     10001011        5CEC8B
32    1792316     100111100       1B593C
33    6298637     1101            601C0D
34    2408038     1001100110      24BE66
35    8510100     1010010100      81DA94
36    991581      101011101        F215D
37    6455739     110111011       6281BB
38    7829175     1010110111      7776B7
39    6328931     1001100011      609263
40    9982305     101100001       985161
41    2292022     100110110       22F936
42    1070496     110100000       1055A0
43    8518360     1011011000      81FAD8
44    6378470     1111100110      6153E6
45    7756258     111100010       7659E2
46    7111767     1010111         6C8457
47    2685897     1111001001      28FBC9
48    617946      111011010        96DDA
49    246280      1000001000       3C208
50    6075442     110010          5CB432
51    991323      1011011          F205B
52    6754202     1110011010      670F9A
53    3103178     111001010       2F59CA
54    3228842     10101010        3144AA
55    6786623     1000111111      678E3F
56    5329085     10111101        5150BD
57    2334647     1110110111      239FB7
58    7253396     110010100       6EAD94
59    6516953     11011001        6370D9
60    5972725     1011110101      5B22F5
61    5828037     111000101       58EDC5
62    6642265     1001011001      655A59
63    2559699     1011010011      270ED3
64    6597631     1111111111      64ABFF
65    5826202     1010011010      58E69A
66    4642335     1000011111      46D61F
67    1862900     11110100        1C6CF4
68    6039635     1010011         5C2853
69    3358744     11000           334018
70    4965249     1110000001      4BC381
71    6621475     100100011       650923
72    3336153     1111011001      32E7D9
73    1044743     100000111        FF107
74    6201477     10000101        5EA085
75    6297100     1000001100      60160C
76    885678      1110101110       D83AE
77    8546891     1001001011      826A4B
78    6683923     100010011       65FD13
79    7064472     1110011000      6BCB98
80    3430021     1010000101      345685
81    9764122     100011010       94FD1A
82    9958605     11001101        97F4CD
83    1006022     111000110        F59C6
84    5276496     1101010000      508350
85    8876232     11001000        8770C8
86    3364648     1100101000      335728
87    3539979     1011            36040B
88    3003857     111010001       2DD5D1
89    4481634     1001100010      446262
90    9035781     101             89E005
91    3767021     1011101101      397AED
92    4993901     1101101101      4C336D
93    8698377     1000001001      84BA09
94    4626501     1000101         469845
95    1755352     11011000        1AC8D8
96    2755340     1100001100      2A0B0C
97    5150616     1110011000      4E9798
98    9345169     10010001        8E9891
99    848948      110100           CF434
100   2708748     100001100       29550C
101   8372451     11100011        7FC0E3
102   3523015     111000111       35C1C7
103   2624283     1100011011      280B1B
